city_id,name,class,white,black,ameri_es,asian,hawn_pl,hispanic,males,females
1,Honolulu,Census Designated Place,73093,6038,689,207588,25457,16229,182628,189029
2,Juneau,City and Borough,22969,248,3496,1438,116,1040,15469,15242
3,Boise City,City,171204,1437,1300,3870,302,8410,92014,93773
4,Olympia,City,36246,805,553,2473,125,1863,20319,22195
5,Salem,City,113746,1750,2064,3304,643,19973,68752,68172
6,Carson,City,44744,946,1259,930,76,7466,27102,25355
7,Sacramento,City,196549,62968,5300,67635,3861,87974,197784,209234
8,Phoenix,City,938853,67416,26696,26449,1766,449972,671760,649285
9,Salt Lake City,City,143933,3433,2442,6579,3437,34254,92045,89698
10,Cheyenne,City,46707,1472,430,561,59,6646,25870,27141
11,Denver,City,362180,61649,7290,15611,648,175704,280207,274429
12,Santa Fe,City,47459,409,1373,791,49,29744,29758,32445
13,Oklahoma City,City,346226,77810,17743,17595,360,51368,247313,258819
14,Topeka,City,96093,14332,1603,1340,50,10847,58759,63618
15,Lincoln,City,201322,6960,1537,7048,141,8154,112361,113220
16,Des Moines,City,163494,16025,705,6946,95,13138,96157,102525
17,Jefferson City,City,32303,5828,150,488,20,616,20329,19307
18,Little Rock,City,100848,74003,500,3032,64,4889,86322,96811
19,Austin,City,429100,65956,3889,30960,469,200579,337569,318993
20,Baton Rouge,City,104117,113953,405,5972,76,3918,108255,119563
21,Helena,City,24434,59,541,201,18,430,12283,13497
22,Bismarck,City,52634,156,1884,251,15,415,26891,28641
23,Pierre,City,12337,28,1188,64,3,173,6592,7284
24,St. Paul,City,192444,33637,3259,35488,203,22715,138863,148288
25,Madison,City,174689,12155,759,12065,77,8512,102248,105806
26,Lansing,City,77766,26095,953,3367,62,11886,57186,61942
27,Augusta,City,17856,93,89,250,2,160,8785,9775
28,Montpelier,City,7758,52,19,66,1,113,3673,4362
29,Albany,City,60383,26915,301,3116,34,5349,45467,50191
30,Boston,City,320944,149202,2365,44284,366,85089,283588,305553
31,Concord,City,38863,421,120,598,13,591,20149,20538
32,Tallahassee,City,91007,51569,376,3617,82,6309,71137,79487
33,Jackson,City,51208,130151,236,1056,24,1451,85656,98600
34,Nashville,City (Consolidated),359581,146235,1639,12992,400,25774,264095,281429
35,Montgomery,City,96085,100048,500,2146,71,2484,94573,106995
36,Springfield,City,90287,17096,231,1620,34,1337,52370,59084
37,Indianapolis,City (Consolidated),540212,199412,1985,11161,322,30636,378310,403560
38,Frankfort,City,22704,4078,35,260,8,411,13228,14513
39,Columbus,City,483332,174065,2090,24495,367,17471,345878,365592
40,Charleston,City,43072,8048,127,979,16,432,24906,28515
41,Atlanta,City,138352,255689,765,8046,173,18720,206725,209749
42,Columbia,City,57236,53465,296,2008,104,3520,56999,59279
43,Raleigh,City,174786,76756,981,9327,118,19308,136648,139445
44,Richmond,City,75744,113108,479,2471,157,5074,92068,105722
45,Harrisburg,City,15527,26841,183,1384,35,5724,23006,25944
46,Trenton,City,27802,44465,300,716,199,18391,42180,43223
47,Dover,City,17655,11961,146,1016,12,1327,15122,17013
48,Washington,City,176101,343312,1713,15189,348,44953,269366,302693
49,Annapolis,City,22457,11267,60,650,11,2301,16975,18863
50,Hartford,City,33705,46264,659,1971,135,49260,58071,63507
51,Providence,City,94666,25243,1975,10432,270,52146,83035,90583
